Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,fail_reason,nom_classification,is_provincia,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier
Laboratorio Camicerie Eugenia Speri,SOTTOPORT. delle ACQUE 5013,,Camiceria,,,,,,,5,page_5_semantic.csv,cover_ads,,,,,False,"Nominatim failed: query=Sottoportego delle Acque, Venezia, Italy | type=nan class=nan",no_civic_number,inside_venice,False,"Sottoportego delle Acque, Venezia, Italy",False,,,nominatim_failed,
MICHELE DE FAULHABER,Sant’Anastasia,,,,,Arc. di Monaco e Frisinga,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
DIONISIO DOUGHERTY,Santissimi Nereo ed Achilleo,,,,,Arc. di Filadelfia,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
CLEMENTE MICARA,S. Maria sopra Minerva,,,,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ADAMO STEFANO SAPIEHA,S. Maria Nuova e S. Francesca Rom,,,,,Arc. Cracovia,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EDOARDO MOONEY,S. Susanna,,,,,Arc. di Detroit,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIOVANNI BATTISTA NASALLI-ROCCA DI CORNELIANO,S. Maria in Traspontina,,,,,Arc. di Bologna,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIULIO SALEIGE,Arc. di Tolosa,,,,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIACOMO CARLO MC GUIGAN,Sta. Maria del Popolo,,,,,Arc. Toronto,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ALESSANDRO VERDE,S. Maria in Cosmedin,,,,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
SAMUELE STRITCH,S. Agnese fuori le mura,,,,,Arc. di Chicago,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIUSEPPE ERNESTO VAN ROEY,S. Maria in Aracoeli,,,,,Arc. di Malines,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
AUGUSTO HLOND,S. Maria della Pace,,,,,Arc. di Gnesua e Posnania,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
PIETRO SEGURA Y SAENZ,S. Maria in Trastevere,,,,,Arc. di Siviglia,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
AGOSTINO PARRADO Y GARCIA,S. Agostino,,,,,Arc. di Granata,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ALFREDO IDELFONSO SCHUSTER,Santi Silvestro e Martino ai Monti,,,,,Arc. di Milano,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EMANUELE CONCALVES CEREJEIRA,Santi Marcellino e Pietro,,,,,Patriarca di Lisbona,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
LUIGI LAVITRANO,S. Silvestro in Capite,,,,,Arc. di Palermo,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EMILIO ROQUES,S. Balbina,,,,,Arc. di Rennes,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIOVANNI DE JONG,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Arc. di Utrecht,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
CARLO CARMELO DE VASCONCELLOS MOTTA,S. Pancrazio,,,,,Arc. di S. Paolo del Brasile,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
RAFFAELLO CARLO ROSSI,ORDINE DEI DIACONI,,,Segret. della S. Congregazione Concistoriale,,tit. di S. Prassede,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
PIETRO PETIT DE JULLEVILLE,S. Maria in Aquiro,,,Arce di Rouen,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ACHILLE LIENART,S. Maria in Aquiro,,,Vescovo di Lilla,,tit. di S. Sisto,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
PIETRO FUMASONI BIONDI,S. Croce in Gerusalemme,,,Prefetto della Congregazione di Propaganda Fide,,Cancellierte dell'Ateneo di Propaganda Fide,,,,37,page_37_semantic.csv,religious,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
MAURILIO FOSSATI,S. Croce in Gerusalemme,,,Arc. di Torino,,tit. di S. Marcello,,,,37,page_37_semantic.csv,religious,,,SANTA CROCE,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
RODRIGO VILLENEUVE,S. Maria degli Angeli,,,Arc. di Quebec,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
NORMANNO GILROY,SS. Quattro Coronaji,,,Arc. Sydney,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
CLEMENTE DE GOUVELA,S. Pietro in Vincoli,,,Arc. di Lorenzo Marques,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EMANUELE CELESTINO SUHARD,S. Pietro in Vincoli,,,Arc. di Parigi,,tit. di S. Onofrio,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIACOMO DE BARROS CAMARA,SS. Bonifacio e Alessio,,,Arc. di S. Sebastiano de Rio de Janeiro,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIACOMO LUIGI COPELLO,SS. Bonifacio e Alessio,,,Arc. di Buenos Ayres,,tit. di S. Girolamo degli Schiavoni,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ENRICO PLA Y DENIEL,"tit, S. Pietro in Montorio",,,Arc. di Toledo,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EMANUELE ARTEAGA Y BETANCOURT,"tit, S. Pietro in Montorio",,,Arc. di S. Cristoforo - Avana,,tit. di S. Lorenzo in Lucina,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ADOMAITo GIOVANNI PIAZZA dei Carmelitani Scalzi,"tit, S. Pietro in Montorio",,,Patriarca di Venezia,,tit. di S. Prasso,,,,37,page_37_semantic.csv,religious,,,,San Pietro,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIUSEPPE FRINGS,S. Giovanni a Porta Latina,,,Arc. di Colonia,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GUALBERTO GIOVANNI GUEVARA,S. Giovanni a Porta Latina,,,Arc. di Lima,,tit. S. Eusebio,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
PIETRO GERLIER,"tit, della SS. Trinità al Monte Pincio",,,Arc. di Lione,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
BERNARDO GRIFFIN,SS. Andrea e Gregorio al Monte Celio,,,Arc. di Westminster,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EMANUELE ARCE Y OCHOTORENA,"SS. Vitale, Gervasio e Protaso",,,Arc. di Tarragona,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,Santi Gervasio e Protasio,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GIUSEPPE MINDSZENTY,"SS. Vitale, Gervasio e Protaso",,,Arc. di Strigonia,,tit. S. Stefano al Monte Celio,,,,37,page_37_semantic.csv,religious,,,,Santi Gervasio e Protasio,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ERNESTO RUFFINI,Santa Sabina,,,Arc. di Berlino,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
CORRADO VON PREYSING,Santa Sabina,,,Vescovo di Berlino,,tit. di S. Agata dei Goti,,,,37,page_37_semantic.csv,religious,,,,,False,"Nominatim failed: query=Chiesa di Santa Sabina, Venezia, Italy | type=place_of_worship class=amenity",no_civic_number,inside_venice,False,"Chiesa di Santa Sabina, Venezia, Italy",False,,,nominatim_failed,
TOMMASO TIEN,S. Maria in Via,,,Vicario Ap. di Tsing-Tao,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,"Nominatim failed: query=Chiesa di Santa Maria in Via, Venezia, Italy | type=place_of_worship class=amenity",no_civic_number,inside_venice,False,"Chiesa di Santa Maria in Via, Venezia, Italy",False,,,nominatim_failed,
DI JORIO mons. ALBERTO,S. Maria in Via,,,Sostituto ed Archivista,,ORDINE DEI DIACONI,,,,37,page_37_semantic.csv,religious,,,,,False,"Nominatim failed: query=Chiesa di Santa Maria in Via, Venezia, Italy | type=place_of_worship class=amenity",no_civic_number,inside_venice,False,"Chiesa di Santa Maria in Via, Venezia, Italy",False,,,nominatim_failed,
Avv. Enrico De Nicola,,,,Capo provvisorio dello Stato,,,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
Dr. Alcide De Gasperi,,,,Pres. del Consiglio,Min. dell'Interno,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Pietro Nenni,,,,ESTERI,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Avv. Fausto Gullo,,,,GRAZIA E GIUSTIZIA,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Mauro Scoccimarro,,,,FINANZE,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Giov. Battista Bertone,,,,TESORO,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Avv. Cipriano Facchinetti,,,,GUERRA,,Repubblicano,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Giuseppe Michieli,,,,MARINA DA GUERRA,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Avv. Salvatore Aldisio,,,,MARINA MERCANTILE,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Avv. Mario Cingolani,,,,AERONAUTICA,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Guido Gonella,,,,PUBBLICA ISTRUZIONE,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Ing. Giuseppe Romita,,,,LAVORI PUBBLICI,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Ing. Giacomo Ferrari,,,,TRASPORTI,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Avv. Prof. Antonio Segni,,,,AGRICOLTURA,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Avv. Mario Scelba,,,,POSTE E TELECOMUNICAZIONI,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Prof. Rodolfo Morandi,,,,INDUSTRIA E COMMERCIO,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Ludovico D'Aragona,,,,LAVORO E PREVIDENZA SOCIALE,,Socialista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Emilio Sereni,,,,ASSISTENZA POST-BELLICA,,Comunista,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Pietro Campilli,,,,COMMERCIO CON L'ESTERO,,Dem. Crist.,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. Dr. Cino Macrelli,,,,Ministri senza portafoglio,,Repubblicano,,,,38,page_38_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. PAOLO CAPPA,,,,Sottosegretari di Stato,,Presidenza del Consiglio,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSEPPE PELLA,,,,Sottosegretari di Stato,,Affari Esteri,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSEPPE BRUSASCA,,,,Sottosegretari di Stato,,Affari Esteri,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSEPPE LUPIS,,,,Sottosegretari di Stato,,Italiani all’Estero,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. ANGELO CORSI,,,,Sottosegretari di Stato,,Interno,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. ACHILLE MARAZZA,,,,Sottosegretari di Stato,,Grazia e Giustizia,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. SALVATORE SCOCCA,,,,Sottosegretari di Stato,,Finanze,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. RAFFAELE PIO PETRILLI,,,,Sottosegretari di Stato,,Tesoro,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. VINCENZO CAVALLARI,,,,Sottosegretari di Stato,,Danni di Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSEPPE MONTALBANO,,,,Sottosegretari di Stato,,Marina Mercantile,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. VITO MARIO STAMPACCHIA,,,,Sottosegretari di Stato,,Marina da Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSE FIORENTINO,,,,Sottosegretari di Stato,,Aeronautica,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSEPPE BELLUSCI,,,,Sottosegretari di Stato,,Pubblica Istruzione,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. PIER CARLO RESTAGNO,,,,Sottosegretari di Stato,,Lavori Pubblici,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. ANGELO RAFFAELE JERVOLINO,,,,Sottosegretari di Stato,,Trasporti,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. VELIO SPANO,,,,Sottosegretari di Stato,,Agricoltura e Foreste,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. ROBERTO TREMELLONI,,,,Sottosegretari di Stato,,Industria e Commercio,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GENNARO CASSIANI,,,,Sottosegretari di Stato,,Lavoro e Previdenza Sociale,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIUSEPPE CHIOSTERGI,,,,Sottosegretari di Stato,,Commercio Estero,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. LUIGI DE FILPO,,,,Sottosegretari di Stato,,Poste e Telecomunicazioni,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. ENRICO MARTINO,,,,Sottosegretari di Stato,,Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. LUIGI CHATRIAN,,,,Sottosegretari di Stato,,Guerra,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. LUIGI CACCIATORE,,,,Sottosegretari di Stato,,Assistenza Post-Bellica,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
On. GIOVANNI CARIGNANI,,,,Sottosegretari di Stato,,Assistenza Post-Bellica,,,,39,page_39_semantic.csv,government,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
S.A.R.I.M.,S. Giobbe 924 - Venezia,,Pavimentazioni e Rivestimenti,,,"Pavimenti e rivestimenti in mosaico vetroso, TELEF. 23-145",,,,40,page_40_semantic.csv,government,,,,,False,"Nominatim failed: query=Sestiere Cannaregio, Venezia, Italy | type=nan class=nan",no_civic_number,inside_venice,False,"Sestiere Cannaregio, Venezia, Italy",False,,,nominatim_failed,
Dott. Gregorio Notarianni,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Prefetto,,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",no_civic_number,inside_venice,False,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Lorenzo Salazar,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Vice Prefetto vicario,,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",no_civic_number,inside_venice,False,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Domenico Dal Cortivo,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Vice Prefetto ispettore,,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",no_civic_number,inside_venice,False,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Gaetano Marfisa,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Capo di Gabinetto,Vice Prefetto ispett.,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",no_civic_number,inside_venice,False,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
Dott. Celestino De Bonis,"Palazzo del Governo - S. Maurizio, fondamenta Zaguri 2662",,,Addetto,Consigliere di l. classe,,,,,42,page_42_semantic.csv,government,,,,,False,"Nominatim failed: query=Palazzo del Governo, Venezia, Italy | type=public class=building",no_civic_number,inside_venice,False,"Palazzo del Governo, Venezia, Italy",False,,,nominatim_failed,
