Beccè Feliciano,"Do-soduro, 2541",Location,Category,Additional Info,162
Benvegnù Luigi,"S. Marco, 310",Location,Category,Additional Info,162
Bergamin Giovanni,"Dorsoduro, 853 A",Location,Category,Additional Info,162
Bergamin Vittorio,Dorsoduro 1419,Location,Category,Additional Info,162
Bergamin Vittorio,"Dorsoduro, 7949-95",Location,Category,Additional Info,162
Bisasin Aldo,"S. Croce, 457",Location,Category,Additional Info,162
Bissoni Giovanni,Castello 4132,Location,Category,Additional Info,162
Bitoto Bortolo,S. Croce 278,Location,Category,Additional Info,162
Bosello Omero,S. Marco 5125,Location,Category,Additional Info,162
Boslo Luigi Guido,S. Marco 5125,Location,Category,S. Elena Giardini Pubblici,162
Briani Carlo,Cannaregio 2431,Location,Category,Additional Info,162
B°oglio Antonio Eugenio,Dorsoduro 917,Location,Category,Additional Info,162
Bustetti Raimondo,Cannaregio 4000,Location,Category,Additional Info,162
Caffè «Florian »,"S. Marco, Procuratie Nuove 56 59 a",Location,Category,Additional Info,162
Caffè Bar Gelateria: «Manin», Campo Manin 4027,Location,Ditta Fiorin Pietro, Tel. 26-875.,162
Carrettin Cesira,Cannaregio 2031,Location,Category,Additional Info,162
Carretti Vittorìo,"Dorsoduro, 19",Location,Category,Additional Info,162
Cattaruzza Antonio,"S. Polo, 319",Location,Category,Additional Info,162
Causin Luigi,"Dorsoduro, 2996",Location,Category,Additional Info,162
Cazzetta Agostino,Cannaregio 1979,Location,Category,Additional Info,162
Centoranti Giovanni,S. Polo 737,Location,Category,Additional Info,162
Ceriello Giorgio,"Cannaregio, 157",Location,Category,Additional Info,162
Cero Matteo,Cannaregio 1975,Location,Category,Additional Info,162
Chialman Antonio (ditta),Cannaregio 1975,Location,"Gran Caffè Bar 900, S. Simeone",Additional Info,162
Cipriani Giuseppe,"S. Marco, 1323",Location,Category,Additional Info,162
Cisotto Giuseppe,Castello 6823,Location,Category,Additional Info,162
Coletta Annibale,"S. Marco, cl. dei Fabbri, 880",Location,Category,Additional Info,162
Comune di Venezia,"S. Marco, cl. dei Fabbri, 880",Location,Category,S. Elena giardini Pubblici,162
Cooperativa Consumo,"S. Marco, cl. dei Fabbri, 880",Murano -fond. Vetraì,Category,Additional Info,162
Cuccato Costante,S. Marco 5397,Location,Category,Additional Info,162
Dagò Pietro,Piazza Umberto I,Mestre,Category,Additional Info,162
Dal Mas Beniamino,Castello 4334,Location,Category,Additional Info,162
Dal Sasso Rosa,Castello 1476,Location,Category,Additional Info,162
De Cesco Pietro Romano,Cannaregio 116,Location,Category,Additional Info,162
De Girardi Albina,Murano fond. Manin 59,Location,Category,Additional Info,162
De Marchi Gino,Castello 1453,Location,Category,Additional Info,162
Dell’Antone Albino,S. Polo 1588,Location,Category,Additional Info,162
Della Libera Augusto,Castello 4384,Location,Category,Additional Info,162
De Rossi Giovanna,S. Croce 283,Location,Category,Additional Info,162
De Vidi,"S. Croce 283, Campo S. Stefano 2797",Location,Category,"Gelateria,  Caffè, ",162
Disaccati Giuseppe,S. Polo 297,Location,Category,Additional Info,162
Dus Antonio,Cannaregio 5990,Location,Category,Additional Info,162
