Provincia,Section,Role_or_Profession,Name,Address,page
,VENEZIA,COMMERCIO E INDUSTRIA,Carradori e carozzieri,Otonati Arturo,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Carradori e carozzieri,Cerchier Riva,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Cereali, farne e granaglie,Piovan Fratelli,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Cereali, farne e granaglie,Bernardini Albano,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Cereali, farne e granaglie,Brussol Gino,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Chincaglierie,Coppo Giovanni,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Chincaglierie,Manzini Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Chincaglierie,Sartor Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Costruzioni edil (Capimastri - imprenditori),Ongaretto Francesco,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Costruzioni edil (Capimastri - imprenditori),Ghiotto Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Costruzioni edil (Capimastri - imprenditori),Cooporativa Edili ed Affini - Trevisoli Giorgio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Costruzioni edil (Capimastri - imprenditori),Mambrin Celio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Fabbri e maniscalchi,Cerchier Federico,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Fabbri e maniscalchi,Cerchier Guido,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Fabbri e maniscalchi,Cerchier Pietro,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Fabbri e maniscalchi,Cerchier Riva,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Falegnami,Padovan Angelo,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Falegnami,Trevisolt Attilio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Falegnami,Vignani Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Falegnami,Pasqualino,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Falegnami,Boem Pietro,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Ferramenta, ottonami ed affini,Manzini Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Perazzo Teresa,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Monmeè Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Zorzeto Martab,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Aruamelli Verzago Irene,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Industria Agrarla S.P.I.G.A., Soc. Agr. Imm. Vencta,Vianello Fratelli,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Lavorazione del legno,Cerchier Federico,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Lavorazione del legno,Boem Pietro,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Lavorazione del legno,Padovan Luigi,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Bonvicini Adone,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Manzini Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Pavanni Pietro,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Soldo Bal,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macellerie,Manzini Giuseppe,,527
,GRUARO,UFFICI AMMINISTRATIVI,Sindaco,Beltrame Dante,,527
,GRUARO,UFFICI AMMINISTRATIVI,Segretario Comunale titolare,Bertolucci Giacomo,,527
,GRUARO,UFFICI AMMINISTRATIVI,Esattoria Comunale,Cassa di Risparmio di ,527
,VENEZIA,PROFESSIONISTI,Medici,Mollica dott. Pietro,,527
,VENEZIA,PROFESSIONISTI,Medici,Rossi Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Zorzeto Martab,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Aruamelli Verzago Irene,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Zorzeto Martab,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Frutta fresca, secca od erbaggi,Aruamelli Verzago Irene,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Soldo Bal,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Bonvicini Adone,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Manzini Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Pavanni Pietro,,527
