Name,Address,Location,Category,Additional Info,page
Padovani Giuseppe,Mercato Rialto,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Palajach Giovanni,Mercato Rialto,Rialto,Frutta e verdura GROSSISTI,"Importazione Esportazione, Agrumi, Frutta, Verdura, Telefono Ufficio 20-576, Abit. Tel. 23-785",211
Panella Filippo,S. Marco 1039,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Penzo Aldo,S. Polo 215,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Prevedello Letizia,Via Castell. 23,Mestre,Frutta e verdura GROSSISTI,(fabbriche),211
Ravaghan Napoleone,S. Polo 232,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Reiner Antonio,S. Polo 547,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Rimini Francesco,Via G. Allegri 21,Mestre,Frutta e verdura GROSSISTI,(fabbriche),211
Rosa Giuseppe,S. Polo 902 A,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Rosa Pietro e De Gandis Francesco,San Polo Ferrivia,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Soc. Agricola del Cavallino,S. Polo 2998,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
"Soc. Agricola Estuario Veneto, rag. Severino Sutor e C.",S. Polo 2999,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Soc. An. Frutta Erbaggi SAFRE.,S. Polo n. 921,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Società Commerciale Frutta e verdura,Cannaregio 2292,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Universale Commercio Generale di Majo Verozzi,Lido Via Lemno 1,Lido,Frutta e verdura GROSSISTI,(fabbriche),211
Vendramini e De Grandis,Rialto 137-A,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Vendramini Gino,S. Polo 1064,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Vetroti Alfredo,S. Simeone 737,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
Zanon Ferruccio,S. Simeone 737,Rialto,Frutta e verdura GROSSISTI,"Importazione, Esportazione, Forniture Marittime Alberghiere, Telegrafi Zanonfe, Albo Esportatori n. 81, Uffici Tel. 25-824, Deposito Tel. 25-335",211
"Zennaro G. e F., (ditta)",S. Silvestro 137,Rialto,Frutta e verdura GROSSISTI,(fabbriche),211
"Export Industrie e Conservifici, Soc. pe: az.",Castello 6108,Rialto,Frutta e verdura conservate,(fabbriche),211
"Stabilimento Adriatic Prodotti Alimentari (S.A.P.A.), di Del Zotto Giovanni Burano",S. Munro 72 e Terranova 79,Rialto,Frutta e verdura conservate,(fabbriche),211
Bizzarro Giovanni,S. Polo 2768,Rialto,Fumisti,(fabbriche),211
Castellino Carlo,S. Aponal 1190,Rialto,Fumisti,(fabbriche),211
Isabella Alberto (Ditta),"S. Lioxa, Calle del Teatro Goldoni 4686",Rialto,Fumisti,"Impianti riscaldamento, cucine, stufe, lavori fumisteria ed apparecchi elettrici, Tel. 23-453",211
