Name,Address,Location,Category,Additional Info,page
De Leonardis Giuseppe,S. Luca 4477,S. Luca,Macchine per scrivere,Ristoranti,287
Dell’Aquila Lorenzo,Castello 1578,Castello,Macchine per scrivere,Ristoranti,287
De Sabbata Bruno,Dorsoduro 2476,Dorsoduro,Macchine per scrivere,Ristoranti,287
Dorialsi Giuseppe,S. Marco 4771,S. Marco,Macchine per scrivere,Ristoranti,287
Dusa Mario,Castello 6016,Castello,Macchine per scrivere,Ristoranti,287
Faceni Pasquale,Castello 1934,Castello,Macchine per scrivere,Ristoranti,287
Facenni Achille,Cann. 5105,Cannaregio,Macchine per scrivere,Ristoranti,287
Fantuzzi Giovanni ved. Mander,Cann. 6082,Cannaregio,Macchine per scrivere,Ristoranti,287
Farinelli Alfredo,S. Elena 47,S. Elena,Macchine per scrivere,Ristoranti,287
Ferrarese Didaco,Mestre Via G. Bruno 2,Mestre,Macchine per scrivere,Ristoranti,287
Ferrarese Oreste,Mestre Via Miranese 95,Mestre,Macchine per scrivere,Ristoranti,287
Ferro Giannino,Mestre Via G. Pepe 3,Mestre,Macchine per scrivere,Ristoranti,287
Finco Pietro,Cannaregio 1861,Cannaregio,Macchine per scrivere,Ristoranti,287
Foglia Rizziero,Cannaregio 3866,Cannaregio,Macchine per scrivere,Ristoranti,287
Foghi Riziero,Cannaregio 3860,Cannaregio,Macchine per scrivere,Ristoranti,287
Gaggian Ant.,Calle Fiubera,Campalto,Macchine per scrivere,Ristoranti,287
Gagginio Nino,Campo S. Stefano,Campalto,Macchine per scrivere,Ristoranti,287
Gaiani Giuseppe,Mestre Via Piave 118,Mestre,Macchine per scrivere,Ristoranti,287
Gerardi Francesco,Castello 4697,Castello,Macchine per scrivere,Ristoranti,287
Giannini Peter,"Castello 4697, Castello 3080",Campalto,Castello,S. Reinier,287
Gioia Antonio,Mestre Via 27 Ottobre 6,Mestre,Macchine per scrivere,Ristoranti,287
Giorgi Pietro,Mestre Via Miranese 77,Mestre,Macchine per scrivere,Ristoranti,287
Grego Egisto,D. Duro 3105,Dorsoduro,Macchine per scrivere,Ristoranti,287
Gusmai Giovanni,S. Polo 954,S. Polo,Macchine per scrivere,Ristoranti,287
Guccio Pietro,S. Polo 954,Campalto,Macchine per scrivere,S. Marina,287
Iaderosa Giovanni,S. Lio 5819,S. Lio,Macchine per scrivere,Ristoranti,287
Jodice Luigi,S. Polo 899,S. Polo,Macchine per scrivere,Ristoranti,287
Jorcovic Giorgio,Cann. 4193,Cannaregio,Macchine per scrivere,Ristoranti,287
Juris Gino,S. Croce 1118,S. Croce,Macchine per scrivere,Ristoranti,287
Lampiil Giuseppe,"S. Croce 1118, 1156",Campalto,Cannaregio,Cann,287
Levorato,Castello Barbaria, delle Tole,Castello,Ristoranti,287
Liceri Antonio,Castello Barbaria,Chirignago,Macchine per scrivere,Chirignago Catene,287
Lo Monaco Agostino,S. Marco 251,S. Marco,Macchine per scrivere,Ristoranti,287
Lorato Luigi,Castello 6661,Castello,Macchine per scrivere,Ristoranti,287
Limentani Francesco,Castello 6398,Castello,Macchine per scrivere,Ristoranti,287
Linassi Fratelli,San Giov. Grisostomo 5733,San Giovanni Grisostomo,Macchine per scrivere,Ristoranti,287
Lorenzl Erminio,S. Marco 4590,S. Marco,Macchine per scrivere,Ristoranti,287
Marcoleni Giacomo,S. Marco 1890,S. Marco,Macchine per scrivere,Ristoranti,287
Macchielli Emilio,Cann. 4002,Cannaregio,Macchine per scrivere,Ristoranti,287
Maggiio Beniamino,Marghera Via Fratelli Bandiera,Marghera,Macchine per scrivere,Ristoranti,287
Marcheseri Italo,Mestre Via Zelarino,Mestre,Macchine per scrivere,Ristoranti,287
Marin Carlo,Mestre Via Adamello 431,Mestre,Macchine per scrivere,Ristoranti,287
Matiz Pietro,S. Marco Ponte dell’Olio 5547,S. Marco,Macchine per scrivere,Ristoranti,287
Mazzoni Dario,S. Marco 4940,S. Marco,Macchine per scrivere,Ristoranti,287
Menegazzi Alfonso,Calle Pistoría 296 Burano,Burano,Macchine per scrivere,Ristoranti,287
Menegazzi Umberto,S. Marco 4391,S. Marco,Macchine per scrivere,Ristoranti,287
Menegon Giovanni,Cann. 4594,Cannaregio,Macchine per scrivere,Ristoranti,287
Miurin Pietro,S. Marco 5306,S. Marco,Macchine per scrivere,Ristoranti,287
Montagner Vincenzo,Cann. 5569,Cannaregio,Macchine per scrivere,Ristoranti,287
Moreni Armando,Campo Fava 5901,Campalto,Macchine per scrivere,Ristoranti,287
Morelli Giovanni,S. Marco 1389,S. Marco,Macchine per scrivere,Ristoranti,287
Moretto Angelo e C.,Via Mimcini 5097,Campalto,Macchine per scrivere,Ristoranti,287
Moretto Gino,Mestre Via Miranese 107,Mestre,Macchine per scrivere,Ristoranti,287
Napello Antonio,S. Marco 859,S. Marco,Macchine per scrivere,Ristoranti,287
Napolitano Gaetano,S. Polo 387,S. Polo,Macchine per scrivere,Ristoranti,287
Nascimbeni Giovanni,S. Polo 387,Campalto,Macchine per scrivere,Zattere Gesuati,287
Nazzari Giorgio,Marghera Via Zambeccari ,Marghera,Macchine per scrivere,Ristoranti,287
Nicolotto Giuseppe,D. Duro 1611,Dorsoduro,Macchine per scrivere,Ristoranti,287
Oliva Giovanni,S. Polo 1410,S. Polo,Macchine per scrivere,Ristoranti,287
Osti Giuseppe,Cann. 3636,Cannaregio,Macchine per scrivere,Ristoranti,287
Padovan Giuseppe,Cann. 3859,Cannaregio,Macchine per scrivere,Ristoranti,287
Panchieri Dino,Castello 4683-C,Castello,Macchine per scrivere,Ristoranti,287
Pandolfi Virgino,Castello 227,Castello,Macchine per scrivere,Ristoranti,287
Papparella Aldo,"Castello 227, Via Piave 9",Campalto,Mestre,Mestre,287
Pasqualetto Attilio,Favaro Veneto 385,Favaro Veneto,Macchine per scrivere,Ristoranti,287
Passarelia Vittorio,Lido Via Paruta 1,Lido,Macchine per scrivere,Ristoranti,287
Pastorelli Luigi,S. Barnaba 3108-A,S. Barnaba,Macchine per scrivere,Ristoranti,287
Pavan Mario,San Samuele 3442,San Samuele,Macchine per scrivere,Ristoranti,287
Pellegrini Guido,Mestre Via S. Donà 58,Mestre,Macchine per scrivere,Ristoranti,287
Penzo Elena,Mestre Via Piave 55,Mestre,Macchine per scrivere,Ristoranti,287
Piccinin Giacomo,Marghera via G. Pepe 5,Marghera,Macchine per scrivere,Ristoranti,287
Pin Eugenio,S. Maurizio calle del Dose,Campalto,Macchine per scrivere,Ristoranti,287
Pinosio Fernando,Mestre Pescheria Vecchia I,Mestre,Macchine per scrivere,Ristoranti,287
Pezzato Rosa,S. Polo 872,S. Polo,Macchine per scrivere,Ristoranti,287
Piliti Giuseppe,"San Marco, Corte Torretta 875",Campalto,Sartoria civile e militare,Telofono no 20-82,287
Polacco Emilio,Cannaregio 4546,Cannaregio,Macchine per scrivere,Ristoranti,287
Polesso Antonio,S. Canisario 5576,Campalto,Macchine per scrivere,Ristoranti,287
Privato Tiziano,Castello 5732,Castello,Macchine per scrivere,Ristoranti,287
Ponturiero Carmelo,Mestre Via Rosa 27,Mestre,Macchine per scrivere,Ristoranti,287
Quadrelli Mario Dante,Mestre Piazza Umberto I,Mestre,Macchine per scrivere,Ristoranti,287
ZAGO F.LLI,"VENEZIA - S. Polo, 1479",Venezia,Ritratti aistici - Lavori industriali - Reparto elio- cianografico,"vendita materiale fotocinematografico, Telefono 34-256",287
