Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,matched_lat,matched_lon,matched_parish,matched_sestiere,matched_lett,all_doors,match_confidence,match_note
Ing. Lorenzo Merlin,Cannaregio 150,,,Appalto: Società 'Trezza di Verona,"Presidente, ",,,,,52,page_52_semantic.csv,government,150.0,,CANNAREGIO,,45.442020446658816,12.323268118111333,San Geremia,CANNAREGIO,A,"[{""lett"": ""A"", ""lat"": 45.44202, ""lon"": 12.323268}, {""lett"": """", ""lat"": 45.442048, ""lon"": 12.323311}]",unique_parish_in_sestiere,"num=150.0: 2 doors, all in same parish; using first"
Sig. Armando Fontana,Cannaregio 440,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,440.0,,CANNAREGIO,,45.44356459809233,12.322937700463855,San Geremia,CANNAREGIO,G,"[{""lett"": ""G"", ""lat"": 45.443565, ""lon"": 12.322938}, {""lett"": ""E"", ""lat"": 45.443341, ""lon"": 12.32266}, {""lett"": ""D"", ""lat"": 45.443323, ""lon"": 12.322638}, {""lett"": ""A"", ""lat"": 45.443229, ""lon"": 12.322486}]",unique_parish_in_sestiere,"num=440.0: 4 doors, all in same parish; using first"
Sig. Francesco Libera,SS. Apostoli 5620,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,5620.0,,,Santi Apostoli,45.439850295082195,12.336720275602437,San Canziano,CANNAREGIO,B,"[{""lett"": ""B"", ""lat"": 45.43985, ""lon"": 12.33672}, {""lett"": ""A"", ""lat"": 45.439908, ""lon"": 12.336705}, {""lett"": """", ""lat"": 45.439827, ""lon"": 12.336744}]",unique_parish_in_sestiere,"num=5620.0: 3 doors, all in same parish; using first"
Sig. Antonio Penso,S. Polo 2765,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,2765.0,,SAN POLO,,45.43627221895984,12.329135718368134,Santa Maria Gloriosa,SAN POLO,,"[{""lett"": """", ""lat"": 45.436272, ""lon"": 12.329136}, {""lett"": ""B"", ""lat"": 45.436136, ""lon"": 12.329312}, {""lett"": ""A"", ""lat"": 45.436196, ""lon"": 12.329239}]",unique_parish_in_sestiere,"num=2765.0: 3 doors, all in same parish; using first"
Dr. Armando Malafante,Dorsoduro 3121,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3121.0,,DORSODURO,,45.43358348419099,12.324394543330987,Santa Maria del Carmine,DORSODURO,A,"[{""lett"": ""A"", ""lat"": 45.433583, ""lon"": 12.324395}, {""lett"": """", ""lat"": 45.433639, ""lon"": 12.324381}]",unique_parish_in_sestiere,"num=3121.0: 2 doors, all in same parish; using first"
Sig. Achille Nezini,Castello 5878,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,5878.0,,CASTELLO,,45.43778144453345,12.33989590110082,Santa Maria Formosa,CASTELLO,A,"[{""lett"": ""A"", ""lat"": 45.437781, ""lon"": 12.339896}, {""lett"": """", ""lat"": 45.437692, ""lon"": 12.339914}]",unique_parish_in_sestiere,"num=5878.0: 2 doors, all in same parish; using first"
Dr. Adalchi Testolini,Castello 5878,Bacino Orseolo,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,5878.0,,CASTELLO,,45.43778144453345,12.33989590110082,Santa Maria Formosa,CASTELLO,A,"[{""lett"": ""A"", ""lat"": 45.437781, ""lon"": 12.339896}, {""lett"": """", ""lat"": 45.437692, ""lon"": 12.339914}]",unique_parish_in_sestiere,"num=5878.0: 2 doors, all in same parish; using first"
Sig. Vittorio Troiani,Castello 5878,"presso Italiam, Chioggia",,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,5878.0,,CASTELLO,,45.43778144453345,12.33989590110082,Santa Maria Formosa,CASTELLO,A,"[{""lett"": ""A"", ""lat"": 45.437781, ""lon"": 12.339896}, {""lett"": """", ""lat"": 45.437692, ""lon"": 12.339914}]",unique_parish_in_sestiere,"num=5878.0: 2 doors, all in same parish; using first"
Avv. Carlo Ottolenghi,Castello 5878,,,Appalto: Società 'Trezza di Verona,"Presidente, ",,,,,52,page_52_semantic.csv,government,5878.0,,CASTELLO,,45.43778144453345,12.33989590110082,Santa Maria Formosa,CASTELLO,A,"[{""lett"": ""A"", ""lat"": 45.437781, ""lon"": 12.339896}, {""lett"": """", ""lat"": 45.437692, ""lon"": 12.339914}]",unique_parish_in_sestiere,"num=5878.0: 2 doors, all in same parish; using first"
Dr. Dionisio Vianello,S. Polo 3024,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3024.0,,SAN POLO,,45.43613925306502,12.32614942194196,Santa Maria Gloriosa,SAN POLO,B,"[{""lett"": ""B"", ""lat"": 45.436139, ""lon"": 12.326149}, {""lett"": """", ""lat"": 45.436219, ""lon"": 12.326225}, {""lett"": ""A"", ""lat"": 45.436194, ""lon"": 12.3262}]",unique_parish_in_sestiere,"num=3024.0: 3 doors, all in same parish; using first"
Ing. Attilio Zacchini,S. Polo 3024,"Via Torre Belfredo, Mestre",,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3024.0,,SAN POLO,,45.43613925306502,12.32614942194196,Santa Maria Gloriosa,SAN POLO,B,"[{""lett"": ""B"", ""lat"": 45.436139, ""lon"": 12.326149}, {""lett"": """", ""lat"": 45.436219, ""lon"": 12.326225}, {""lett"": ""A"", ""lat"": 45.436194, ""lon"": 12.3262}]",unique_parish_in_sestiere,"num=3024.0: 3 doors, all in same parish; using first"
Dr. Dionisio Vianello,S. Polo 3024,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3024.0,,SAN POLO,,45.43613925306502,12.32614942194196,Santa Maria Gloriosa,SAN POLO,B,"[{""lett"": ""B"", ""lat"": 45.436139, ""lon"": 12.326149}, {""lett"": """", ""lat"": 45.436219, ""lon"": 12.326225}, {""lett"": ""A"", ""lat"": 45.436194, ""lon"": 12.3262}]",unique_parish_in_sestiere,"num=3024.0: 3 doors, all in same parish; using first"
Rag. Mario Pellanda,S. Polo 3024,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3024.0,,SAN POLO,,45.43613925306502,12.32614942194196,Santa Maria Gloriosa,SAN POLO,B,"[{""lett"": ""B"", ""lat"": 45.436139, ""lon"": 12.326149}, {""lett"": """", ""lat"": 45.436219, ""lon"": 12.326225}, {""lett"": ""A"", ""lat"": 45.436194, ""lon"": 12.3262}]",unique_parish_in_sestiere,"num=3024.0: 3 doors, all in same parish; using first"
Aurelio Zavagno,S. Polo 3024,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,3024.0,,SAN POLO,,45.43613925306502,12.32614942194196,Santa Maria Gloriosa,SAN POLO,B,"[{""lett"": ""B"", ""lat"": 45.436139, ""lon"": 12.326149}, {""lett"": """", ""lat"": 45.436219, ""lon"": 12.326225}, {""lett"": ""A"", ""lat"": 45.436194, ""lon"": 12.3262}]",unique_parish_in_sestiere,"num=3024.0: 3 doors, all in same parish; using first"
Dr. Silvio Reggiani,S. Polo 3024,,,Appalto: Società 'Trezza di Verona,Segretario generale,,,,,52,page_52_semantic.csv,government,3024.0,,SAN POLO,,45.43613925306502,12.32614942194196,Santa Maria Gloriosa,SAN POLO,B,"[{""lett"": ""B"", ""lat"": 45.436139, ""lon"": 12.326149}, {""lett"": """", ""lat"": 45.436219, ""lon"": 12.326225}, {""lett"": ""A"", ""lat"": 45.436194, ""lon"": 12.3262}]",unique_parish_in_sestiere,"num=3024.0: 3 doors, all in same parish; using first"
Grisolera Comm. dr. Enrico,S. Marco 2546,Sostituto Procuratore,,CORTI D’ASSISE,PROCURA DELLA REPUBBLICA,,,,,55,page_55_semantic.csv,government,2546.0,,SAN MARCO,,45.43313435503579,12.332969064690833,Santa Maria Zobenigo,SAN MARCO,A,"[{""lett"": ""A"", ""lat"": 45.433134, ""lon"": 12.332969}, {""lett"": """", ""lat"": 45.432951, ""lon"": 12.332958}]",unique_parish_in_sestiere,"num=2546.0: 2 doors, all in same parish; using first"
Colusnt Ing. Aldo,S. Luca 4580,,,- ASSOCIAZIONE DEI PANIFICATORI DI VENEZA E PROVINCIA,Società in NOME COLLETTIVO,",",,,,67,page_67_semantic.csv,government,4580.0,,,San Luca,45.43605440865518,12.33544943302927,San Luca,SAN MARCO,A,"[{""lett"": ""A"", ""lat"": 45.436054, ""lon"": 12.335449}, {""lett"": """", ""lat"": 45.436071, ""lon"": 12.335472}]",exact_parish_multi_door,"num=4580.0: 2 doors in parish, using first"
Vadali cav. Rimano,S. Marco 1183,,,- ASSOCIAZIONE ESERCENTI PUBBLICI ESERCIZI DELLA PROV. DI VENEZIA,Società in NOME COLLETTIVO,",",,,,67,page_67_semantic.csv,government,1183.0,,SAN MARCO,,45.433957964387865,12.33651287078638,San Marco,SAN MARCO,,"[{""lett"": """", ""lat"": 45.433958, ""lon"": 12.336513}, {""lett"": ""A"", ""lat"": 45.43395, ""lon"": 12.336485}]",unique_parish_in_sestiere,"num=1183.0: 2 doors, all in same parish; using first"
Sigg. Bolla Giulio,San Marco 5228,,,- ASSOCIAZIONE ESERCENTI PUBBLICI ESERCIZI DELLA PROV. DI VENEZIA,Gruppo: Osterie,",",,,,67,page_67_semantic.csv,government,5228.0,,SAN MARCO,,45.43697931186709,12.33714258731013,San Salvador,SAN MARCO,A,"[{""lett"": ""A"", ""lat"": 45.436979, ""lon"": 12.337143}, {""lett"": """", ""lat"": 45.43703, ""lon"": 12.337014}]",unique_parish_in_sestiere,"num=5228.0: 2 doors, all in same parish; using first"
Miotto cav. Angelo,S. Simeone Grande 927,,,Commissario,ISPETTORATO PER LE TRE VENEZIE DELLA PREVIDENZA SOCIALE,",",,,,69,page_69_semantic.csv,government,927.0,,,San Simeone Profeta,45.440949133207,12.324003327189596,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440949, ""lon"": 12.324003}, {""lett"": ""A"", ""lat"": 45.440937, ""lon"": 12.323891}]",exact_parish_multi_door,"num=927.0: 2 doors in parish, using first"
Bastianetto avv. Cerleste,S. Simeone Grande 927,,,Membro commissione,ISPETTORATO PER LE TRE VENEZIE DELLA PREVIDENZA SOCIALE,",",,,,69,page_69_semantic.csv,government,927.0,,,San Simeone Profeta,45.440949133207,12.324003327189596,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440949, ""lon"": 12.324003}, {""lett"": ""A"", ""lat"": 45.440937, ""lon"": 12.323891}]",exact_parish_multi_door,"num=927.0: 2 doors in parish, using first"
De Senzi Ermenegildo,S. Simeone Grande 927,,,Membro commissione,lavoratore,",",,,,69,page_69_semantic.csv,government,927.0,,,San Simeone Profeta,45.440949133207,12.324003327189596,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440949, ""lon"": 12.324003}, {""lett"": ""A"", ""lat"": 45.440937, ""lon"": 12.323891}]",exact_parish_multi_door,"num=927.0: 2 doors in parish, using first"
Mazzuccato dott. Alessandro,S. Simeone Grande 927,,,Direttore Amm.,ISPETTORATO PER LE TRE VENEZIE DELLA PREVIDENZA SOCIALE,",",,,,69,page_69_semantic.csv,government,927.0,,,San Simeone Profeta,45.440949133207,12.324003327189596,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440949, ""lon"": 12.324003}, {""lett"": ""A"", ""lat"": 45.440937, ""lon"": 12.323891}]",exact_parish_multi_door,"num=927.0: 2 doors in parish, using first"
Sig. Bertuzzi,Sottoportejo San Silvestro 1103,,,Vice Console onorario,Consolati,,,,,71,page_71_semantic.csv,government,1103.0,,,San Silvestro,45.4372717068589,12.333411133908385,San Silvestro,SAN POLO,A,"[{""lett"": ""A"", ""lat"": 45.437272, ""lon"": 12.333411}, {""lett"": """", ""lat"": 45.437308, ""lon"": 12.33338}]",exact_parish_multi_door,"num=1103.0: 2 doors in parish, using first"
Dott. Armando Malafante,Dorsoduro 3121,,,Section Title,Consolati,,,,,71,page_71_semantic.csv,government,3121.0,,DORSODURO,,45.43358348419099,12.324394543330987,Santa Maria del Carmine,DORSODURO,A,"[{""lett"": ""A"", ""lat"": 45.433583, ""lon"": 12.324395}, {""lett"": """", ""lat"": 45.433639, ""lon"": 12.324381}]",unique_parish_in_sestiere,"num=3121.0: 2 doors, all in same parish; using first"
Ferdinando Imhof,Campo S. Maria Formosa 6123,,,Console onorario,Consolati,"Cura anche gli interessi del Lichtenstein,",,,,71,page_71_semantic.csv,government,6123.0,,,Santa Maria Formosa,45.437787678383465,12.340858579618128,Santa Maria Formosa,CASTELLO,A,"[{""lett"": ""A"", ""lat"": 45.437788, ""lon"": 12.340859}, {""lett"": """", ""lat"": 45.437733, ""lon"": 12.340907}]",exact_parish_multi_door,"num=6123.0: 2 doors in parish, using first"
Dott. Armando Malafante,"Dorsoduro, Rio Terrà Canal 3121",,,Section Title,Altri Consolati aventi giurisdizione sulla Regione Veneta,,,,,71,page_71_semantic.csv,government,3121.0,,DORSODURO,,45.43358348419099,12.324394543330987,Santa Maria del Carmine,DORSODURO,A,"[{""lett"": ""A"", ""lat"": 45.433583, ""lon"": 12.324395}, {""lett"": """", ""lat"": 45.433639, ""lon"": 12.324381}]",unique_parish_in_sestiere,"num=3121.0: 2 doors, all in same parish; using first"
Suore Mantellate,S. Simeone P. 767,FRAZIONI,,Castello,OPERA NAZIONALE PER LA PROTEZIONE E ASSISTENZA DEGLI INVALIDI DI GUERRA,,,,,83,page_83_semantic.csv,government,767.0,,,San Simeone Profeta,45.44046130951946,12.323876790211695,San Simeone Profeta,SANTA CROCE,A,"[{""lett"": ""A"", ""lat"": 45.440461, ""lon"": 12.323877}, {""lett"": """", ""lat"": 45.440449, ""lon"": 12.323856}, {""lett"": ""B"", ""lat"": 45.44031, ""lon"": 12.323593}]",exact_parish_multi_door,"num=767.0: 3 doors in parish, using first"
Bolla Agostino,Cannaregio 3161,,,Federazione delle Federazioni Sportive,Fid. Prov.,",",,,,99,page_99_semantic.csv,other,3161.0,,CANNAREGIO,,45.44821084308862,12.328260586222877,San Marziale,CANNAREGIO,,"[{""lett"": """", ""lat"": 45.448211, ""lon"": 12.328261}, {""lett"": ""A"", ""lat"": 45.448227, ""lon"": 12.328275}]",unique_parish_in_sestiere,"num=3161.0: 2 doors, all in same parish; using first"
Belli Agostino,Cannareggio 3161,Cannaregio,,4925,Segretario Tesoriere,",",,,,99,page_99_semantic.csv,other,3161.0,,CANNAREGIO,,45.44821084308862,12.328260586222877,San Marziale,CANNAREGIO,,"[{""lett"": """", ""lat"": 45.448211, ""lon"": 12.328261}, {""lett"": ""A"", ""lat"": 45.448227, ""lon"": 12.328275}]",unique_parish_in_sestiere,"num=3161.0: 2 doors, all in same parish; using first"
Mocellin Ing. Alberto,S. Vio n. 671,Cannaregio,,4925,Fid. Prov.,",",,,,99,page_99_semantic.csv,other,671.0,,CANNAREGIO,,45.445660256968395,12.319297037882627,San Geremia,CANNAREGIO,,"[{""lett"": """", ""lat"": 45.44566, ""lon"": 12.319297}, {""lett"": ""A"", ""lat"": 45.445644, ""lon"": 12.319272}]",unique_parish_in_sestiere,"num=671.0: 2 doors, all in same parish; using first"
Todeschini Aurelio,Cannareggio 2692,Cannaregio,,Addetto Provinciale,BICROMIE TRICROMIE FOTOLITO,",",,,,99,page_99_semantic.csv,other,2692.0,,CANNAREGIO,,45.44507102978938,12.329017456838317,Santi Ermagora e Fortunato,CANNAREGIO,A,"[{""lett"": ""A"", ""lat"": 45.445071, ""lon"": 12.329017}, {""lett"": """", ""lat"": 45.445126, ""lon"": 12.329121}]",unique_parish_in_sestiere,"num=2692.0: 2 doors, all in same parish; using first"
