Name,Role,Address,Location,Profession,Additional Info,page
Gregorich dr. Otmaro,Consigliere,San Luca 4041,,al Porto di Venezia,Terza penale,54
Di Giuseppe dr. Berardo,Consigliere,San Luca 4041,,al Porto di Venezia,Terza penale,54
Alessandri dr. Alessandro,Consigliere,San Luca 4041,,al Porto di Venezia,Terza penale,54
Illich dr. Ernesto,Consigliere,San Luca 4041,,al Porto di Venezia,Terza penale,54
Ferianin dr. Ermanno,Consigliere,San Luca 4041,,al Porto di Venezia,Terza penale,54
Taillandis dr. Francesco,Consigliere,San Luca 4041,,al Porto di Venezia,Terza penale,54
Tissi dr. Guido,Presidente,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Bellano dr. Giuseppe,Presidente supplente,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Groppa dr. Nicola,Consigliere,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Zink dr. Pietro,Consigliere,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Pisani dr. Guido,Consigliere,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Grieb dr. Tommaso,Consigliere,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Cabrini dr. Aldo,Consigliere,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Cappelletti prof. Luigi,Componente privato effettivo,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Rota prof. Antonio,Componente privato supplente,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Ori prof. Alessandro,Componente privato supplente,San Luca 4041,,al Porto di Venezia,Speciale per i minorenni,54
Pellegrini dr. Gilberto,Presidente,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
De Carli dr. Giulio,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
Tilli dr. Alfredo,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
Bellano dr. Giuseppe,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
Groppa dr. Nicola,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
Grieb dr. Tommaso,Supplente,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
Cabrini dr. Aldo,Supplente,San Luca 4041,,al Porto di Venezia,Speziale per la magistratura del lavoro,54
Presutti dr. Ferdinando,Presidente,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Giocoli dr. Lorenzo,Consigliere effettivo,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Bellano dr. Giuseppe,Consigliere effettivo,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Pisani dr. Guido,Consigliere effettivo,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Grieb dr. Tommaso,Consigliere effettivo,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Tilli dr. Alfredo,Supplente,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Cabrini dr Aldo,Supplente,San Luca 4041,Sezione Istruttoria,al Porto di Venezia,", ,",54
Tissi dr. Guido,Presidente,San Luca 4041,,al Porto di Venezia,Venezia,54
Di Giuseppe dr. Berardo,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Venezia,54
Pisani dr. Guido,Supplente,San Luca 4041,,al Porto di Venezia,Venezia,54
N. N.,Presidente,San Luca 4041,,al Porto di Venezia,Belluno,54
Alessandri dr. Alessandro,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Belluno,54
Tissi dr. Guido,Presidente,San Luca 4041,,al Porto di Venezia,Padova,54
Guerrazzi dr. Guerrazzo,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Padova,54
Pisani dr. Guido,Supplente,San Luca 4041,,al Porto di Venezia,Padova,54
N. N.,Presidente,San Luca 4041,,al Porto di Venezia,Rovigo,54
Alessandri dr. Alessandro,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Rovigo,54
Tissi dr. Guido,Presidente,San Luca 4041,,al Porto di Venezia,Treviso,54
Guerrazzi dr. Guerrazzo,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Treviso,54
N. N.,Presidente,San Luca 4041,,al Porto di Venezia,Verona,54
Guerrazzi dr. Guerrazzo,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Verona,54
Alessandri dr. A. Alessandro,Consigliere supplente,San Luca 4041,,al Porto di Venezia,Verona,54
Tissi dr. Guido,Presidente,San Luca 4041,,al Porto di Venezia,Vicenza,54
Bellano dr. Giuseppe,Consigliere effettivo,San Luca 4041,,al Porto di Venezia,Vicenza,54
Tissi dr. Guido,Presidente,San Luca 4041,,al Porto di Venezia,Bolzano,54
