Name,Address,Location,Category,Additional Info,Profession,Role,page
Volo Gino,S. Marco 4514,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,ristorante,Phone: 25.889,"* duse *,",482
Volo Luca ved. Murazzi,Lido Gran Viale 8,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,oggetti artistici,Phone: 25.889,"* duse *,",482
Volo Valentino,Lido Quattro Fontane numero 81,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,trattoria,Phone: 25.889,"* duse *,",482
Volpato Aristide,D. Duro 3295,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,articoli casalinghi e oggetti diversi (grosista),Phone: 25.889,"* duse *,",482
Volpato Amadeo (ditta),Cannaregio numero 2857,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,molino,Phone: 25.889,"* duse *,",482
Volpato Antonio,"Mestre, Via Allegri 16-18",duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,pastificio alimentari,Phone: 25.889,"* duse *,",482
Volpato Eugenio,S. Polo 475,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,tessuti,Phone: 25.889,"* duse *,",482
Volpato Ernesto,Cannaregio 2880,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,oggetti usati,Phone: 25.889,"* duse *,",482
Volpato P. fil.,Cannaregio 2880,duse,trebbiatura,Favaro Veneto,Phone: 25.889,"* duse *,",482
Volpato dr. Guerino,Lido Via Ascalonta 1,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,Vice direttore Generale Cassa di Risparmio,Phone: 25.889,"* duse *,",482
Volpato Marcello,S. Polo 1719,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,articoli casalinghi,Phone: 25.889,"* duse *,",482
Volpato Valentino,Mestre Via Giardino,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,impresa edile,Phone: 25.889,"* duse *,",482
Volpe Amalia,S. Polo numero 1345,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,merletti e ricami,Phone: 25.889,"* duse *,",482
Volpe Flora,S. Polo 1886,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,chincaglierie,Phone: 25.889,"* duse *,",482
Volpe Flora,Santa Croce 2051,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,merletti fiati e affini,Phone: 25.889,"* duse *,",482
Volpe Teresi,Calle della Bissa 5473,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,corredi da sposa,Phone: 25.889,"* duse *,",482
Volpi Guido,Campo Bandiera 3608 (palazzo Balcor ),duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,confezioni per uomo e signora,Phone: 25.889,"* duse *,",482
Volpi Ines,Campo Bandiera e Morvedana,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,sarta,Phone: 25.889,"* duse *,",482
Vorano Giovanni,S. Marco 7115,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,specialità veneziane,Phone: 25.889,"* duse *,",482
Voltani Arcangelo,Mestre Via Piave 58,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,alimentari (dett.),Phone: 25.889,"* duse *,",482
Voltani Attilio,S. Polo 2008,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,tabaccherìa, giocattoli,"* duse *,",482
Voltani Fortunato,S. Polo 1046,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,calzature,Phone: 25.889,"* duse *,",482
Voltani Fortunato,Lido Gran Viale 5-7,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Voltani Leandro,Mestre Riviera XX Settembre 13,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,ortaggi e legumi alimentari (dett.),Phone: 25.889,"* duse *,",482
Voltolina Agostino,Rialto 331:30,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,pesce (ingrosso),Phone: 25.889,"* duse *,",482
Voltolina Aleardo,S. Bartolomeo 5396,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,avvocato,Phone: 25.889,"* duse *,",482
Voltolina Enno,Cannareggio 2386,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,merletti e ricami,Phone: 25.889,"* duse *,",482
Voltolini dr. Gino,S. Luca 4187,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,notaio,Phone: 25.889,"* duse *,",482
Voltolina Giuseppe,"Murano, fdm. Angeli",duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,carbone e legna (det),Phone: 25.889,"* duse *,",482
Voltolina (ditta),S. Croce 143,duse,valli cultura,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Wahurschì,S. Geremia 99,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,vetri e specchi (commercio e lavorazione),Phone: 25.889,"* duse *,",482
Walli Meercadante,D. Duro 925,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,panificio,Phone: 25.889,"* duse *,",482
Walli Giovanni,S. Moîsta 1492,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,specialità veneziane,Phone: 25.889,"* duse *,",482
Walter Aldo,Calle delle Rasse 1581,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,specialità veneziane,Phone: 25.889,"* duse *,",482
Walter & C.,Cannaregio 1334,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,perle,Phone: 25.889,"* duse *,",482
Walter Ervin,S. Marco 2053,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,rappresentante macchine,Phone: 25.889,"* duse *,",482
Walter Pacifico,Cannaregio 4317,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,macchine da cucire e accessori,Phone: 25.889,"* duse *,",482
Venter Marini Giorgio,Castello 1647,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,architetto,Phone: 25.889,"* duse *,",482
Widauer,Riva Schiavoni 4161,duse,pensione,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Phone: 25.889,"* duse *,",482
Wolf Ferrari Prof. Cesare,S. Marco 2801,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,strumenti musicali,Phone: 25.889,"* duse *,",482
Wunberger Cornelio,Cannaregio 5632,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,alimentari (gross.),Phone: 25.889,"* duse *,",482
Wars Filippo,Cannaregio 5632,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,"Venezia - Via XXII Marzo, 2288, Telephone: 25-889",Direttore aggiunto Banca di Napoli,"* duse *,",482
Wurms dr. Giorgio,S. Marco 1386,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,medicina generale,Phone: 25.889,"* duse *,",482
Wurms Ginlio,S. Marco 1386,duse,MACCHINE per scrivere -- Calcolatrici - Duplicatori,assicurazioni,Phone: 25.889,"* duse *,",482
